177.5,190,4,0.1024,0.4474,13,0.0145,0.3401,0.0593
67.5,0,4,-0.0189,0.3971,1,0.0137,-0.208,0.0615
147.5,80,4,0.1506,0.5542,11,0.0116,0.1062,0.0636
-2.5,230,4,0.0287,0.4131,5,0.0101,0.2372,0.0174
17.5,230,4,0.0986,0.4865,5,0.0087,0.4572,0.0181
167.5,-60,4,0.0427,0.4516,12,0.008,-0.099,0.0398
177.5,-40,4,0.0547,0.4571,12,0.0065,-0.088,0.047
27.5,-70,4,0.0112,0.3909,0,0.0065,-0.2204,0.0398
27.5,-10,3,-0.0069,0.5583,0,0.0484,0.1145,0.196
27.5,10,3,-0.015,0.5507,1,0.0383,0.0992,0.1974
247.5,20,3,0.0345,0.3991,15,0.0304,0.195,0.0947
257.5,0,3,0.004,0.3707,15,0.0304,0.11,0.0832
227.5,130,3,0.0853,0.4332,15,0.0282,0.2975,0.0911
237.5,70,3,0.1092,0.4575,15,0.0282,0.3702,0.0846
227.5,90,3,0.073,0.4243,15,0.026,0.2708,0.0947
237.5,-10,3,0.0485,0.421,16,0.026,0.2609,0.0969
237.5,90,3,0.0851,0.4345,15,0.0253,0.3012,0.0889
7.5,-40,3,-0.0118,0.5626,0,0.0253,0.123,0.1511
-12.5,20,3,-0.0075,0.6075,1,0.0246,0.2128,0.1562
237.5,10,3,0.0185,0.3896,15,0.0246,0.1667,0.0962
257.5,-40,3,0.0169,0.3815,16,0.0246,0.1423,0.0774
217.5,-130,3,0.0878,0.4392,16,0.0246,0.3153,0.0752
137.5,-130,3,0.0883,0.4814,10,0.0224,-0.0394,0.0615
7.5,-230,3,0.0531,0.4458,4,0.0224,0.3352,0.0448
207.5,-150,3,0.0584,0.4103,16,0.0217,0.2288,0.0832
237.5,-20,3,0.0278,0.395,16,0.021,0.1828,0.0911
217.5,150,3,0.0862,0.4367,15,0.0202,0.3079,0.0875
187.5,140,3,0.1127,0.4692,15,0.0202,0.4055,0.1056
217.5,-120,3,0.0501,0.4018,16,0.0202,0.2032,0.0709
167.5,110,3,0.1826,0.5638,11,0.0195,0.1254,0.0839
237.5,-120,3,0.1122,0.4548,16,0.0195,0.3623,0.0615
247.5,80,3,0.1101,0.4549,15,0.0188,0.3625,0.0839
237.5,-60,3,0.0682,0.4261,16,0.0188,0.276,0.0687
147.5,-120,3,0.0903,0.4804,10,0.0188,-0.0413,0.0607
127.5,-130,3,0.0916,0.49,10,0.0181,-0.0223,0.0629
227.5,-140,3,0.0732,0.417,16,0.0181,0.2488,0.0694
207.5,170,3,0.0638,0.4092,15,0.0174,0.2255,0.0672
137.5,200,3,0.0524,0.4196,13,0.0166,0.2566,0.0405
237.5,-40,3,0.0369,0.4012,16,0.0166,0.2015,0.0832
147.5,130,3,0.097,0.4859,9,0.0159,-0.0304,0.0694
147.5,-110,3,0.0995,0.4956,10,0.0159,-0.011,0.0615
167.5,-10,3,0.067,0.4718,12,0.0152,-0.0586,0.0456
147.5,-140,3,0.1067,0.4928,10,0.0152,-0.0166,0.0701
117.5,130,3,0.0436,0.4386,9,0.0145,-0.1251,0.0463
157.5,70,3,0.171,0.5706,11,0.0145,0.1391,0.0586
157.5,-10,3,0.1096,0.5154,12,0.0145,0.0287,0.0456
87.5,-10,3,-0.0123,0.3944,6,0.0145,-0.2134,0.0427
77.5,-10,3,-0.0178,0.388,6,0.0145,-0.2263,0.055
237.5,-100,3,0.0889,0.4362,16,0.0145,0.3065,0.0665
207.5,-120,3,0.0508,0.4067,16,0.0145,0.218,0.0766
127.5,140,3,0.0629,0.4537,9,0.0137,-0.0948,0.0499
117.5,140,3,0.0648,0.4563,9,0.0137,-0.0896,0.0448
127.5,130,3,0.056,0.4489,9,0.0137,-0.1044,0.0542
237.5,-90,3,0.103,0.4521,16,0.0137,0.3542,0.0672
57.5,0,3,-0.0149,0.4306,1,0.013,-0.141,0.1012
197.5,0,3,0.0378,0.4277,11,0.0123,-0.1468,0.0651
187.5,0,3,0.0434,0.4406,11,0.0123,-0.1209,0.0528
177.5,0,3,0.0632,0.4626,11,0.0123,-0.077,0.047
157.5,200,3,0.1409,0.493,13,0.0116,0.4769,0.047
177.5,60,3,0.1468,0.5367,11,0.0116,0.0712,0.0521
97.5,-10,3,0.0514,0.4612,6,0.0108,-0.0797,0.0405
167.5,-130,3,0.0588,0.4356,10,0.0108,-0.131,0.0795
157.5,-210,3,0.0676,0.4407,14,0.0108,0.3199,0.0412
47.5,-240,3,0.1379,0.5309,4,0.0108,0.5905,0.0376
27.5,50,3,0.0062,0.4651,1,0.0101,-0.072,0.0723
97.5,10,3,-0.0055,0.4022,6,0.0101,-0.1978,0.0412
117.5,-140,3,0.174,0.5747,10,0.0101,0.1472,0.0586
37.5,50,3,0.0932,0.5086,1,0.0087,0.0149,0.0564
37.5,-30,3,0.0038,0.537,0,0.0087,0.0717,0.1685
137.5,-220,3,0.0802,0.4582,14,0.0087,0.3725,0.0289
157.5,-180,3,0.0821,0.4565,14,0.008,0.3674,0.068
167.5,-90,3,0.0558,0.4497,12,0.0072,-0.1028,0.0528
27.5,100,3,0.192,0.5842,2,0.0065,0.1663,0.0195
187.5,110,3,0.1013,0.467,11,0.0058,-0.0682,0.1157
117.5,0,3,0.101,0.5142,6,0.0051,0.0262,0.0448
127.5,20,3,0.0434,0.4566,6,0.0029,-0.0889,0.0412
-12.5,-10,2,-0.0199,0.6074,0,0.0499,0.2126,0.1699
17.5,20,2,-0.0042,0.5695,1,0.0427,0.1368,0.1858
217.5,130,2,0.0821,0.4322,15,0.0304,0.2946,0.0947
257.5,-10,2,0.0059,0.3753,16,0.0304,0.1238,0.0882
217.5,140,2,0.0871,0.4373,15,0.0282,0.3096,0.0897
247.5,-20,2,0.0228,0.3863,16,0.0282,0.1568,0.0868
247.5,40,2,0.0785,0.4343,15,0.026,0.3007,0.0904
247.5,70,2,0.0955,0.4443,15,0.0253,0.3308,0.0788
247.5,50,2,0.0702,0.4229,15,0.0246,0.2664,0.086
247.5,30,2,0.0772,0.4352,15,0.0246,0.3033,0.0882
7.5,30,2,-0.0095,0.5728,1,0.0246,0.1434,0.1497
157.5,110,2,0.1495,0.5415,9,0.0239,0.0808,0.0738
37.5,-10,2,-0.0132,0.5437,0,0.0239,0.0852,0.196
207.5,-160,2,0.0834,0.4377,16,0.0239,0.311,0.0803
227.5,-120,2,0.0602,0.4102,16,0.0231,0.2284,0.0644
207.5,-170,2,0.0812,0.4348,16,0.0231,0.3022,0.0745
217.5,-140,2,0.0533,0.4023,16,0.0224,0.2046,0.0759
137.5,120,2,0.0823,0.4774,9,0.021,-0.0473,0.0615
157.5,100,2,0.1194,0.5178,11,0.021,0.0334,0.0658
147.5,100,2,0.1206,0.5203,9,0.021,0.0385,0.0694
257.5,-30,2,0.0075,0.3746,16,0.021,0.1215,0.0832
157.5,120,2,0.1179,0.5047,9,0.0202,0.0071,0.0781
227.5,60,2,0.0879,0.4424,15,0.0202,0.3251,0.0889
187.5,-160,2,0.1104,0.4722,16,0.0202,0.4144,0.0832
177.5,170,2,0.1342,0.4875,15,0.0195,0.4602,0.0723
237.5,40,2,0.074,0.4342,15,0.0195,0.3004,0.0911
217.5,-150,2,0.0667,0.4141,16,0.0195,0.24,0.0781
237.5,130,2,0.0971,0.4462,15,0.0188,0.3363,0.0832
157.5,90,2,0.1324,0.5331,11,0.0188,0.064,0.0622
237.5,30,2,0.0652,0.4278,15,0.0188,0.2814,0.0933
37.5,-20,2,-0.0143,0.5378,0,0.0188,0.0733,0.1858
197.5,170,2,0.0971,0.4452,15,0.0181,0.3335,0.0687
137.5,110,2,0.1317,0.5325,9,0.0181,0.0628,0.0644
157.5,-130,2,0.0973,0.4834,10,0.0181,-0.0354,0.0687
247.5,90,2,0.0923,0.4365,15,0.0174,0.3073,0.0817
257.5,-60,2,0.0741,0.4268,16,0.0174,0.2781,0.0622
237.5,-110,2,0.0934,0.4384,16,0.0174,0.3129,0.0615
237.5,-130,2,0.1179,0.4606,16,0.0174,0.3797,0.0571
137.5,100,2,0.1447,0.5457,9,0.0166,0.0892,0.0672
167.5,80,2,0.1495,0.5416,11,0.0166,0.081,0.0651
157.5,80,2,0.1249,0.5224,11,0.0166,0.0427,0.0622
167.5,70,2,0.1823,0.5731,11,0.0159,0.1441,0.0607
257.5,60,2,0.0935,0.442,15,0.0159,0.3237,0.0716
147.5,200,2,0.0976,0.4535,13,0.0152,0.3583,0.0427
147.5,190,2,0.0965,0.457,13,0.0152,0.3689,0.0499
167.5,120,2,0.1346,0.5111,9,0.0152,0.02,0.0875
